record.id	node.id	part_age	cont_age	w	m	c
74	74	73	0	184425	0.0154083221052477	8.35479035122554e-08
75	75	74	0	184425	0.0127384335346036	6.90710778614806e-08
76	76	75	0	184425	0.0105070421751095	5.69718973843543e-08
77	77	76	0	184425	0.00860343375682266	4.6650040703932e-08
78	78	77	0	184425	0.00712318329773534	3.86237402615445e-08
79	79	78	0	184425	0.0060004574482264	3.25360306261429e-08
80	80	79	0	184425	0.00514367825723825	2.78903524860418e-08
81	81	80	0	184425	0.00446670492772545	2.42196281834103e-08
82	82	81	0	184425	0.00389242443560302	2.11057309779207e-08
83	83	82	0	184425	0.00334955786387625	1.81621681652501e-08
84	84	83	0	184425	0.00289068913481103	1.56740633580644e-08
85	85	84	0	184425	0.00252428468457778	1.3687323760758e-08
86	86	85	0	184425	0.00224237471126492	1.21587350482034e-08
87	87	86	0	184425	0.00203298253083736	1.10233565451395e-08
88	88	87	0	184425	0.00188485089998702	1.0220148569809e-08
89	89	88	0	184425	0.00178894383746513	9.7001156972489e-09
90	90	89	0	184425	0.00173886016837126	9.42854910327373e-09
91	91	90	0	184425	0.00173062553696268	9.38389880418970e-09
92	92	91	0	184425	0.00176238455535119	9.55610440748917e-09
93	93	92	0	184425	0.00183419580751751	9.94548357065207e-09
94	94	93	0	184425	0.00194790324394709	1.05620346696331e-08
95	95	94	0	184425	0.00210704573825633	1.14249463915214e-08
96	96	95	0	184425	0.00231685227204172	1.25625716255482e-08
97	97	96	0	184425	0.00258426766230966	1.40125669638588e-08
98	98	97	0	184425	0.00291800874182892	1.5822197325899e-08
99	99	98	0	184425	0.00332862286554824	1.80486531953273e-08
100	100	99	0	184425	0.00382855440901525	2.0759411191624e-08
101	101	100	0	184425	0.00443222357805261	2.40326613965168e-08
102	102	101	0	184425	0.00515612372193162	2.79578350111515e-08
103	103	102	0	184425	0.00601892157997423	3.26361479190686e-08
104	104	103	0	184425	0.0070415874328971	3.81813064004181e-08
105	105	104	0	184425	0.00824754435292096	4.47203164046141e-08
106	106	105	0	184425	0.00966287625302441	5.23946116471433e-08
107	107	106	0	184425	0.0113166151691216	6.13616113277573e-08
108	108	107	0	184425	0.0132411210246709	7.17967793122999e-08
109	109	108	0	184425	0.0154726118383579	8.38964990557563e-08
110	110	109	0	184425	0.0180518772951096	9.78819427686574e-08
111	111	110	0	184425	0.0210252257830747	1.14004206496271e-07
112	112	111	0	184425	0.0244457022011266	1.32550913385531e-07
113	113	112	0	184425	0.0283746067837631	1.53854449146065e-07
114	114	113	0	184425	0.0328833489938585	1.78302014335684e-07
115	115	114	0	184425	0.0380556340660622	2.06347480363629e-07
116	116	115	0	184425	0.0439899844411166	2.38525061358908e-07
117	117	116	0	184425	0.050802570006849	2.75464660468206e-07
118	118	117	0	184425	0.0586302847922718	3.17908552486224e-07
119	119	118	0	184425	0.0676339490963253	3.66728746625053e-07
120	120	119	0	184425	0.0780014251473495	4.22943880424831e-07
121	121	120	0	184425	0.0899503000419431	4.87733767341429e-07
122	2	0	1	187237	0.35616541765368	1.9022170706307e-06
123	122	1	1	187237	0.623577278753488	3.33041695152928e-06
124	123	2	1	187237	0.500288701267517	2.6719542679466e-06
125	124	3	1	187237	0.371469857415488	1.98395540099173e-06
126	125	4	1	187237	0.254643249662114	1.36000496516241e-06
127	126	5	1	187237	0.177688789638347	9.49004681971761e-07
128	127	6	1	187237	0.129694182071992	6.926738949673e-07
129	128	7	1	187237	0.0978142629072734	5.22408834297032e-07
130	129	8	1	187237	0.0769666490018379	4.11065382386162e-07
131	130	9	1	187237	0.0610196230598172	3.25895111862597e-07
132	131	10	1	187237	0.0465431061782611	2.48578572495079e-07
133	132	11	1	187237	0.035698484900625	1.90659350986317e-07
134	133	12	1	187237	0.0281456211316753	1.5032082938562e-07
135	134	13	1	187237	0.0232130455177299	1.23976807563301e-07
136	135	14	1	187237	0.0198222882104002	1.05867367082362e-07
137	136	15	1	187237	0.0180060491948176	9.61671528320661e-08
138	137	16	1	187237	0.0173678211241352	9.27584885686865e-08
